customer_name,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,age,female,total_kids,total_lifetime_spend,has_loyalty_card
Bsc. Crystal Kitchens,1.0,1.0,1.0,3.0,11731.0,4553.0,,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,38.79442787189893,-9.21573941941328,56.0,1,2.0,18590.0,1
Bsc. Glenda Bauman,1.0,0.0,0.0,2.0,13694.0,963.0,,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,38.75171109471023,-9.17961146619482,50.0,1,1.0,20233.0,1
Msc. Antonio Campbell,0.0,0.0,,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,38.7806775225494,-9.16065569234224,54.0,0,0.0,15549.0,0
John Kelling,0.0,0.0,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,1656.0,184.0,92.0,0.253609260797035,2021.0,38.7395484361888,-9.14867873262084,43.0,0,0.0,14952.0,1
Arthur Dematteo,0.0,0.0,3.0,1.0,9187.0,10841.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,1258.0,441.0,6.0,0.1865687348395157,2021.0,38.733071481512525,-9.18818784180837,56.0,0,0.0,25797.0,1
Msc. Nadine Garcia,1.0,1.0,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,,84.0,0.1506456602849799,2011.0,38.73557687527516,-9.172423167155566,57.0,1,2.0,21004.0,1
Phd. Franklin Alba,2.0,1.0,0.0,1.0,22240.0,,9.0,1284.0,538.0,1970.0,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,2014.0,38.73032247703208,-9.144022385203078,55.0,0,3.0,30360.0,1
Bsc. Robert Hansing,1.0,1.0,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,1849.0,397.0,180.0,0.1642509924715683,2017.0,38.739327834608034,-9.225046721736746,48.0,0,2.0,37638.0,1
Phd. Dorothy Pacheco,0.0,0.0,0.0,2.0,9281.0,254.0,18.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,,2018.0,38.74861570702996,-9.167756169633098,26.0,1,0.0,12814.0,0
Msc. Arron Burgener,1.0,0.0,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,38.78881949407391,-9.184157680069834,77.0,0,1.0,14548.0,1
Bsc. Henry Thompson,0.0,1.0,0.0,3.0,7237.0,591.0,7.0,1807.0,507.0,42.0,304.0,176.0,2312.0,153.0,441.0,154.0,0.1113161982340499,2014.0,38.760359275134725,-9.07835954778907,77.0,0,1.0,13570.0,1
Bsc. Charlene Baird,0.0,0.0,1.0,7.0,11107.0,108.0,15.0,620.0,162.0,182.0,1094.0,487.0,607.0,89.0,683.0,37.0,1.0,2021.0,38.78541245732896,-9.152032204165351,25.0,1,0.0,15139.0,1
Bruno Goldbeck,0.0,1.0,2.0,1.0,10490.0,13672.0,20.0,104.0,574.0,705.0,1249.0,737.0,205.0,667.0,550.0,134.0,0.4091402734153587,2018.0,38.74600841010293,-9.15622923060766,29.0,0,1.0,28953.0,1
Phd. Evelyn Quinn,1.0,2.0,3.0,3.0,8264.0,1660.0,19.0,266.0,399.0,514.0,1024.0,1405.0,819.0,168.0,533.0,65.0,0.157528602099963,2007.0,38.78699922945693,-9.135196125512602,78.0,1,3.0,15052.0,1
Msc. Arlene Hernandez,1.0,0.0,1.0,5.0,35044.0,78.0,20.0,395.0,567.0,621.0,1000.0,910.0,1560.0,285.0,255.0,253.0,0.4308490612060748,2017.0,38.75274681712484,-9.135250341406646,80.0,1,1.0,40715.0,1
Bsc. James Kolodziej,1.0,1.0,1.0,3.0,15333.0,883.0,14.0,1325.0,551.0,257.0,117.0,150.0,2057.0,100.0,473.0,205.0,0.0320563109521218,2019.0,38.75658242562309,-9.15436602277348,82.0,0,2.0,21246.0,1
Phd. Linda Bryant,1.0,1.0,0.0,2.0,20270.0,1816.0,17.0,2118.0,507.0,408.0,40.0,53.0,890.0,238.0,342.0,139.0,0.0660401921930587,2012.0,38.74710885689428,-9.186784838800778,59.0,1,2.0,26682.0,1
Phd. Tom Fisher,0.0,0.0,,2.0,8829.0,345.0,8.0,,121.0,1657.0,1028.0,758.0,91.0,475.0,44.0,61.0,0.6532370294994334,2029.0,38.70758994916797,-9.161818002552854,25.0,0,0.0,13348.0,1
Bsc. Jeffery Brown,2.0,1.0,1.0,4.0,71986.0,3650.0,11.0,126.0,721.0,739.0,532.0,920.0,1101.0,268.0,499.0,126.0,0.2331716143295922,2019.0,38.727745834323656,-9.185483625264848,34.0,0,3.0,80542.0,1
Phd. Edna Christy,1.0,0.0,0.0,2.0,12067.0,274.0,22.0,,125.0,177.0,811.0,157.0,243.0,52.0,210.0,16.0,0.5625619630219125,2016.0,38.777746595386375,-9.167540842777818,37.0,1,1.0,14116.0,1
Msc. Arthur Doyle,2.0,1.0,2.0,1.0,9842.0,2173.0,12.0,311.0,193.0,691.0,422.0,566.0,485.0,782.0,301.0,35.0,0.6308553294317327,2020.0,38.74813760378645,-9.156526394540954,34.0,0,3.0,15766.0,1
Phd. Debra Mcleod,1.0,0.0,0.0,5.0,10232.0,2309.0,14.0,338.0,280.0,595.0,438.0,821.0,1067.0,225.0,454.0,127.0,0.5897405207838152,2011.0,38.72716384639924,-9.2052703305056,66.0,1,1.0,16759.0,1
