customer_name,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,age,female,total_kids,total_lifetime_spend,average_value_per_product,has_loyalty_card,lifetime_spend_groceries_prop,lifetime_spend_electronics_prop,lifetime_spend_vegetables_prop,lifetime_spend_nonalcohol_drinks_prop,lifetime_spend_alcohol_drinks_prop,lifetime_spend_meat_prop,lifetime_spend_fish_prop,lifetime_spend_hygiene_prop,lifetime_spend_videogames_prop,lifetime_spend_petfood_prop
Bsc. Crystal Kitchens,1.0,3.0,11731.0,4553.0,,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,38.79442787189893,-9.21573941941328,56.0,1,2.0,18590.0,98.35978835978835,1,0.6310381925766542,0.24491662183969876,0.020064550833781603,0.017374932759548146,0.009521247982786444,0.001506186121570737,0.011457772996234534,0.029693383539537387,0.01377084454007531,0.020656266810112962
Bsc. Glenda Bauman,0.0,2.0,13694.0,963.0,,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,38.75171109471023,-9.17961146619482,50.0,1,1.0,20233.0,155.63846153846154,1,0.6768151040379577,0.047595512281915685,0.09944150644985914,0.0263431028517768,0.004695299757821381,0.0021252409430138884,0.0007413631196560075,0.09291751099688628,0.016458261256363366,0.03286709830474967
Msc. Antonio Campbell,,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,38.7806775225494,-9.16065569234224,54.0,0,0.0,15549.0,191.96296296296296,0,0.7979291272750659,0.0,0.03569361373721783,0.006495594571998199,0.007588912470255322,0.08135571419383883,0.0175573991896585,0.03260659849508007,0.006495594571998199,0.014277445494887131
John Kelling,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,1656.0,184.0,92.0,0.253609260797035,2021.0,38.7395484361888,-9.14867873262084,43.0,0,0.0,14952.0,162.52173913043478,1,0.5011369716425896,0.0739031567683253,0.0056179775280898875,0.050628678437667204,0.07577581594435527,0.06500802568218299,0.07243178170144463,0.03243713215623328,0.11075441412520064,0.012306046013911182
Arthur Dematteo,3.0,1.0,9187.0,10841.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,1258.0,441.0,6.0,0.1865687348395157,2021.0,38.733071481512525,-9.18818784180837,56.0,0,0.0,25797.0,4299.5,1,0.35612668139706166,0.42024266387564446,0.014730395007171377,0.022948404853277513,0.027832693724076443,0.04140016280962903,0.039345660348102496,0.011512966624026049,0.04876536031321471,0.017095011047796257
Msc. Nadine Garcia,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,,84.0,0.1506456602849799,2011.0,38.73557687527516,-9.172423167155566,57.0,1,2.0,21004.0,250.04761904761904,1,0.7869929537231004,0.055037135783660256,0.08131784422014854,0.019329651494953342,0.017282422395734146,0.001285469434393449,0.0036183584079223004,0.024423919253475528,0.010712245286612073,0.0
Phd. Franklin Alba,0.0,1.0,22240.0,,9.0,1284.0,538.0,1970.0,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,2014.0,38.73032247703208,-9.144022385203078,55.0,0,3.0,30360.0,150.2970297029703,1,0.7325428194993412,0.0,0.042292490118577074,0.01772068511198946,0.06488801054018445,0.04601449275362319,0.05675230566534915,0.029183135704874835,0.006686429512516469,0.003919631093544137
Bsc. Robert Hansing,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,1849.0,397.0,180.0,0.1642509924715683,2017.0,38.739327834608034,-9.225046721736746,48.0,0,2.0,37638.0,209.1,1,0.7908231043094744,0.04099580211488389,0.00504808969658324,0.010919815080503745,0.017030660502683457,0.023141505924863172,0.01942186088527552,0.03294542749349062,0.0491258834156969,0.010547850576544981
Phd. Dorothy Pacheco,0.0,2.0,9281.0,254.0,18.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,,2018.0,38.74861570702996,-9.167756169633098,26.0,1,0.0,12814.0,441.86206896551727,0,0.7242859372561261,0.019822069611362573,0.00975495551740284,0.004682378648353363,0.120883408771656,0.010847510535351958,0.04666770719525519,0.052520680505696894,0.005540814733884814,0.004994537224910255
Msc. Arron Burgener,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,38.78881949407391,-9.184157680069834,77.0,0,1.0,14548.0,255.2280701754386,1,0.548597745394556,0.14785537530932086,0.1140362936486115,0.05492163871322519,0.008592246356887545,0.010173219686554854,0.0016497113005224085,0.0957519934011548,0.012235358812207863,0.006186417376959032
