customer_name,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,age,female,total_kids,total_lifetime_spend,average_value_per_product,has_loyalty_card,lifetime_spend_groceries_prop,lifetime_spend_electronics_prop,lifetime_spend_vegetables_prop,lifetime_spend_nonalcohol_drinks_prop,lifetime_spend_alcohol_drinks_prop,lifetime_spend_meat_prop,lifetime_spend_fish_prop,lifetime_spend_hygiene_prop,lifetime_spend_videogames_prop,lifetime_spend_petfood_prop,Cluster,cluster
Bsc. Crystal Kitchens,1.0,3.0,11731.0,4553.0,,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,2020.0,38.79442787189893,-9.21573941941328,56.0,1,2.0,18590.0,98.35978835978835,1,0.6310381925766542,0.2449166218396987,0.0200645508337816,0.0173749327595481,0.0095212479827864,0.0015061861215707,0.0114577729962345,0.0296933835395373,0.0137708445400753,0.0206562668101129,0,0
Bsc. Glenda Bauman,0.0,2.0,13694.0,963.0,,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,2013.0,38.75171109471023,-9.17961146619482,50.0,1,1.0,20233.0,155.63846153846154,1,0.6768151040379577,0.0475955122819156,0.0994415064498591,0.0263431028517768,0.0046952997578213,0.0021252409430138,0.000741363119656,0.0929175109968862,0.0164582612563633,0.0328670983047496,4,4
Msc. Antonio Campbell,,2.0,12407.0,0.0,11.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,2005.0,38.7806775225494,-9.16065569234224,54.0,0,0.0,15549.0,191.96296296296296,0,0.7979291272750659,0.0,0.0356936137372178,0.0064955945719981,0.0075889124702553,0.0813557141938388,0.0175573991896585,0.03260659849508,0.0064955945719981,0.0142774454948871,0,0
John Kelling,2.0,1.0,7493.0,1105.0,18.0,84.0,757.0,1133.0,972.0,1083.0,485.0,1656.0,184.0,92.0,0.253609260797035,2021.0,38.7395484361888,-9.14867873262084,43.0,0,0.0,14952.0,162.52173913043478,1,0.5011369716425896,0.0739031567683253,0.0056179775280898,0.0506286784376672,0.0757758159443552,0.0650080256821829,0.0724317817014446,0.0324371321562332,0.1107544141252006,0.0123060460139111,1,1
Arthur Dematteo,3.0,1.0,9187.0,10841.0,17.0,380.0,592.0,718.0,1068.0,1015.0,297.0,1258.0,441.0,6.0,0.1865687348395157,2021.0,38.733071481512525,-9.18818784180837,56.0,0,0.0,25797.0,4299.5,1,0.3561266813970616,0.4202426638756444,0.0147303950071713,0.0229484048532775,0.0278326937240764,0.041400162809629,0.0393456603481024,0.011512966624026,0.0487653603132147,0.0170950110477962,1,1
Msc. Nadine Garcia,1.0,6.0,16530.0,1156.0,6.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,,84.0,0.1506456602849799,2011.0,38.73557687527516,-9.172423167155566,57.0,1,2.0,21004.0,250.04761904761904,1,0.7869929537231004,0.0550371357836602,0.0813178442201485,0.0193296514949533,0.0172824223957341,0.0012854694343934,0.0036183584079223,0.0244239192534755,0.010712245286612,0.0,3,3
Phd. Franklin Alba,0.0,1.0,22240.0,,9.0,1284.0,538.0,1970.0,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,2014.0,38.73032247703208,-9.144022385203078,55.0,0,3.0,30360.0,150.2970297029703,1,0.7325428194993412,0.0,0.042292490118577,0.0177206851119894,0.0648880105401844,0.0460144927536231,0.0567523056653491,0.0291831357048748,0.0066864295125164,0.0039196310935441,0,0
Bsc. Robert Hansing,1.0,6.0,29765.0,1543.0,10.0,190.0,411.0,641.0,871.0,731.0,1240.0,1849.0,397.0,180.0,0.1642509924715683,2017.0,38.739327834608034,-9.225046721736746,48.0,0,2.0,37638.0,209.1,1,0.7908231043094744,0.0409958021148838,0.0050480896965832,0.0109198150805037,0.0170306605026834,0.0231415059248631,0.0194218608852755,0.0329454274934906,0.0491258834156969,0.0105478505765449,0,0
Phd. Dorothy Pacheco,0.0,2.0,9281.0,254.0,18.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,,2018.0,38.74861570702996,-9.167756169633098,26.0,1,0.0,12814.0,441.86206896551727,0,0.7242859372561261,0.0198220696113625,0.0097549555174028,0.0046823786483533,0.120883408771656,0.0108475105353519,0.0466677071952551,0.0525206805056968,0.0055408147338848,0.0049945372249102,0,0
Msc. Arron Burgener,1.0,3.0,7981.0,2151.0,12.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,2017.0,38.78881949407391,-9.184157680069834,77.0,0,1.0,14548.0,255.2280701754386,1,0.548597745394556,0.1478553753093208,0.1140362936486115,0.0549216387132251,0.0085922463568875,0.0101732196865548,0.0016497113005224,0.0957519934011548,0.0122353588122078,0.006186417376959,4,4
Bsc. Henry Thompson,0.0,3.0,7237.0,591.0,7.0,1807.0,507.0,42.0,304.0,176.0,2312.0,153.0,441.0,154.0,0.1113161982340499,2014.0,38.760359275134725,-9.07835954778907,77.0,0,1.0,13570.0,88.11688311688312,1,0.5333087693441415,0.0435519528371407,0.1331613854089904,0.0373618275607958,0.0030950626381724,0.0224023581429624,0.012969786293294,0.1703758290346352,0.0112748710390567,0.0324981577008106,4,4
Bsc. Charlene Baird,1.0,7.0,11107.0,108.0,15.0,620.0,162.0,182.0,1094.0,487.0,607.0,89.0,683.0,37.0,1.0,2021.0,38.78541245732896,-9.152032204165351,25.0,1,0.0,15139.0,409.1621621621622,1,0.733668009776075,0.0071338925952837,0.0409538278618138,0.0107008388929255,0.0120219301142743,0.0722636898077812,0.0321685712398441,0.0400951185679371,0.0058788559350023,0.0451152652090626,2,2
Bruno Goldbeck,2.0,1.0,10490.0,13672.0,20.0,104.0,574.0,705.0,1249.0,737.0,205.0,667.0,550.0,134.0,0.4091402734153587,2018.0,38.74600841010293,-9.15622923060766,29.0,0,1.0,28953.0,216.06716417910448,1,0.3623113321590163,0.4722135875384243,0.0035920284599177,0.0198252339999309,0.0243498083100196,0.043138880254205,0.0254550478361482,0.007080440714261,0.023037336372742,0.0189963043553345,0,0
Phd. Evelyn Quinn,3.0,3.0,8264.0,1660.0,19.0,266.0,399.0,514.0,1024.0,1405.0,819.0,168.0,533.0,65.0,0.157528602099963,2007.0,38.78699922945693,-9.135196125512602,78.0,1,3.0,15052.0,231.5692307692308,1,0.5490300292319957,0.1102843475950039,0.0176720701567897,0.0265081052351846,0.0341482859420675,0.0680308264682434,0.093343077331916,0.0544113739038001,0.0111613074674461,0.0354105766675524,2,2
